num_users,events_processed,user_day_rows,runtime_seconds,peak_memory_mb,events_per_second
100,1512593,15328,6.446532207999553,306.74909687042236,234636.69321670514
250,6115693,64505,26.409270291998837,1249.6505126953125,231573.72136301923
500,15659743,152982,62.74083470899859,3226.7388439178467,249594.11319011357
1000,32770222,330452,123.18782574999932,6753.9340171813965,266018.3488139873
