variant,run,seed,steps,warmup,runtime_seconds,note,actor_precision,actor_recall,actor_f1,ttd_avg,ttd_max,confirmed_alerts,confirmed_alert_precision,confirmed_fp_per_run,early_alerts,early_tp,actors_total,actors_detected,tom_assisted_detections,early_alert_precision,early_alerts_total,early_alerts_fp,conf_alert_precision,conf_alerts_total,conf_alerts_fp,tom_detected_count
CE-SIEM: email/forensics only,2,43,240,60,6.101828667000518,Reviewer-only approximation of email/forensics contribution in CE-SIEM; not LSC+email.,0.6666666666666666,1.0,0.8,12.5,40.0,,,,,,8.0,8.0,,0.7172413793103448,145.0,41.0,0.7222222222222222,144.0,40.0,0.0
CE-SIEM: email/forensics only,3,44,240,60,8.229193541999848,Reviewer-only approximation of email/forensics contribution in CE-SIEM; not LSC+email.,0.6153846153846154,1.0,0.761904761904762,6.5,10.0,,,,,,8.0,8.0,,0.6167664670658682,167.0,64.0,0.6167664670658682,167.0,64.0,0.0
CE-SIEM: email/forensics only,4,45,240,60,6.012058374995831,Reviewer-only approximation of email/forensics contribution in CE-SIEM; not LSC+email.,0.6666666666666666,1.0,0.8,15.75,62.0,,,,,,8.0,8.0,,0.7152777777777778,144.0,41.0,0.7202797202797203,143.0,40.0,0.0
CE-SIEM: email/forensics only,5,46,240,60,6.219406667005387,Reviewer-only approximation of email/forensics contribution in CE-SIEM; not LSC+email.,0.6666666666666666,1.0,0.8,15.75,70.0,,,,,,8.0,8.0,,0.6645962732919255,161.0,54.0,0.66875,160.0,53.0,0.0
CE-SIEM: email/forensics only,6,47,240,60,6.0933363330041175,Reviewer-only approximation of email/forensics contribution in CE-SIEM; not LSC+email.,0.6666666666666666,1.0,0.8,13.25,64.0,,,,,,8.0,8.0,,0.6917808219178082,146.0,45.0,0.6917808219178082,146.0,45.0,0.0
CE-SIEM: email/forensics only,7,48,240,60,6.0603267080005025,Reviewer-only approximation of email/forensics contribution in CE-SIEM; not LSC+email.,0.6666666666666666,1.0,0.8,15.0,62.0,,,,,,8.0,8.0,,0.7152777777777778,144.0,41.0,0.7152777777777778,144.0,41.0,0.0
CE-SIEM: email/forensics only,8,49,240,60,8.593835166000645,Reviewer-only approximation of email/forensics contribution in CE-SIEM; not LSC+email.,0.6153846153846154,1.0,0.761904761904762,21.0,68.0,,,,,,8.0,8.0,,0.6687116564417178,163.0,54.0,0.6666666666666666,162.0,54.0,0.0
CE-SIEM: email/forensics only,9,50,240,60,8.899259416997666,Reviewer-only approximation of email/forensics contribution in CE-SIEM; not LSC+email.,0.5333333333333333,1.0,0.6956521739130436,14.0,58.0,,,,,,8.0,8.0,,0.6666666666666666,144.0,48.0,0.6666666666666666,144.0,48.0,0.0
CE-SIEM: email/forensics only,10,51,240,60,8.732081458998437,Reviewer-only approximation of email/forensics contribution in CE-SIEM; not LSC+email.,0.6153846153846154,1.0,0.761904761904762,15.5,54.0,,,,,,8.0,8.0,,0.6493506493506493,154.0,54.0,0.6535947712418301,153.0,53.0,0.0
EG-SIEM without ToM validation,1,42,240,60,4.913439750001999,Uses existing EG-SIEM toggle use_tom=False; source file unchanged.,1.0,0.875,0.9333333333333333,23.142857142857142,58.0,42.0,1.0,0.0,,,8.0,7.0,0.0,,,,,,,
EG-SIEM without ToM validation,2,43,240,60,4.9275562920011,Uses existing EG-SIEM toggle use_tom=False; source file unchanged.,1.0,0.875,0.9333333333333333,71.14285714285714,192.0,37.0,1.0,0.0,,,8.0,7.0,0.0,,,,,,,
EG-SIEM without ToM validation,3,44,240,60,7.045731708996755,Uses existing EG-SIEM toggle use_tom=False; source file unchanged.,1.0,0.875,0.9333333333333333,42.0,154.0,35.0,1.0,0.0,,,8.0,7.0,0.0,,,,,,,
EG-SIEM without ToM validation,4,45,240,60,6.795505416994274,Uses existing EG-SIEM toggle use_tom=False; source file unchanged.,1.0,0.875,0.9333333333333333,55.142857142857146,176.0,38.0,1.0,0.0,,,8.0,7.0,0.0,,,,,,,
EG-SIEM without ToM validation,5,46,240,60,7.138488584001607,Uses existing EG-SIEM toggle use_tom=False; source file unchanged.,1.0,0.625,0.7692307692307693,58.4,188.0,34.0,1.0,0.0,,,8.0,5.0,0.0,,,,,,,
EG-SIEM without ToM validation,6,47,240,60,6.813562208000803,Uses existing EG-SIEM toggle use_tom=False; source file unchanged.,1.0,0.875,0.9333333333333333,84.28571428571429,198.0,32.0,1.0,0.0,,,8.0,7.0,0.0,,,,,,,
EG-SIEM without ToM validation,7,48,240,60,6.930225165997399,Uses existing EG-SIEM toggle use_tom=False; source file unchanged.,1.0,0.75,0.8571428571428571,56.0,124.0,39.0,1.0,0.0,,,8.0,6.0,0.0,,,,,,,
EG-SIEM without ToM validation,8,49,240,60,4.844565541003249,Uses existing EG-SIEM toggle use_tom=False; source file unchanged.,1.0,0.875,0.9333333333333333,66.28571428571429,202.0,30.0,1.0,0.0,,,8.0,7.0,0.0,,,,,,,
EG-SIEM without ToM validation,9,50,240,60,7.198090792000585,Uses existing EG-SIEM toggle use_tom=False; source file unchanged.,1.0,0.875,0.9333333333333333,49.142857142857146,104.0,35.0,1.0,0.0,,,8.0,7.0,0.0,,,,,,,
EG-SIEM without ToM validation,10,51,240,60,7.1662443749955855,Uses existing EG-SIEM toggle use_tom=False; source file unchanged.,1.0,0.875,0.9333333333333333,24.285714285714285,56.0,38.0,1.0,0.0,,,8.0,7.0,0.0,,,,,,,
EG-SIEM with ToM validation,1,42,240,60,4.935065416997531,Uses existing EG-SIEM rich config with use_tom=True; source file unchanged.,1.0,0.875,0.9333333333333333,23.142857142857142,58.0,42.0,1.0,0.0,,,8.0,7.0,20.0,,,,,,,
EG-SIEM with ToM validation,2,43,240,60,4.996140416995331,Uses existing EG-SIEM rich config with use_tom=True; source file unchanged.,1.0,0.875,0.9333333333333333,71.14285714285714,192.0,37.0,1.0,0.0,,,8.0,7.0,14.0,,,,,,,
EG-SIEM with ToM validation,3,44,240,60,7.060871208006574,Uses existing EG-SIEM rich config with use_tom=True; source file unchanged.,1.0,0.875,0.9333333333333333,42.0,154.0,35.0,1.0,0.0,,,8.0,7.0,17.0,,,,,,,
EG-SIEM with ToM validation,4,45,240,60,6.854482208000263,Uses existing EG-SIEM rich config with use_tom=True; source file unchanged.,1.0,0.875,0.9333333333333333,55.142857142857146,176.0,38.0,1.0,0.0,,,8.0,7.0,16.0,,,,,,,
EG-SIEM with ToM validation,5,46,240,60,7.165961290993437,Uses existing EG-SIEM rich config with use_tom=True; source file unchanged.,1.0,0.625,0.7692307692307693,58.4,188.0,34.0,1.0,0.0,,,8.0,5.0,19.0,,,,,,,
EG-SIEM with ToM validation,6,47,240,60,6.758561791997636,Uses existing EG-SIEM rich config with use_tom=True; source file unchanged.,1.0,0.875,0.9333333333333333,84.28571428571429,198.0,32.0,1.0,0.0,,,8.0,7.0,15.0,,,,,,,
EG-SIEM with ToM validation,7,48,240,60,6.587327250003,Uses existing EG-SIEM rich config with use_tom=True; source file unchanged.,0.8571428571428571,0.75,0.7999999999999999,56.0,124.0,40.0,0.975,1.0,,,8.0,6.0,15.0,,,,,,,
EG-SIEM with ToM validation,8,49,240,60,4.6032691250002244,Uses existing EG-SIEM rich config with use_tom=True; source file unchanged.,0.875,0.875,0.875,66.28571428571429,202.0,31.0,0.967741935483871,1.0,,,8.0,7.0,11.0,,,,,,,
EG-SIEM with ToM validation,9,50,240,60,6.597721042002377,Uses existing EG-SIEM rich config with use_tom=True; source file unchanged.,1.0,0.875,0.9333333333333333,49.142857142857146,104.0,35.0,1.0,0.0,,,8.0,7.0,13.0,,,,,,,
EG-SIEM with ToM validation,10,51,240,60,6.543177999999898,Uses existing EG-SIEM rich config with use_tom=True; source file unchanged.,1.0,0.875,0.9333333333333333,24.285714285714285,56.0,38.0,1.0,0.0,,,8.0,7.0,20.0,,,,,,,
