agent_count_human,simulation_steps,completed_runs,failed_runs,mean_runtime_seconds,std_runtime_seconds,mean_peak_memory_mb,std_peak_memory_mb,mean_actor_f1,std_actor_f1,mean_events_generated,mean_events_per_second,mean_confirmed_alerts,mean_confirmed_false_positives,mean_ttd_avg_steps,mean_ttd_max_steps
42,240,3,0,43.736739499996474,10.670864081309464,6.636777877807617,0.4375696062674048,0.9333333333333333,0.0,4176.0,98.84572295755936,38.0,0.0,45.42857142857143,134.66666666666666
100,240,3,0,58.906789597664705,0.3510478583263778,12.597062110900879,0.5931424538136641,0.8746438746438746,0.02467308842690719,10173.0,172.70578618471126,78.0,0.0,44.05050505050505,162.0
100,480,3,0,120.9376404166663,1.8269413247226873,20.894180615743,1.2140909378055562,0.888888888888889,0.0,20924.0,173.05154677172047,172.33333333333334,0.0,55.16666666666667,258.0
250,480,3,0,125.98516581933411,0.27472331159668756,44.94788010915121,1.1317532259335092,0.8780903665814151,0.007382995769688308,51966.0,412.47955499599317,370.3333333333333,0.3333333333333333,69.93333333333334,440.0
500,480,3,0,136.4810433750002,1.1137186622744373,84.60117022196452,0.791121869491807,0.8817994375244621,0.00657127264840268,101356.66666666667,742.658644072164,695.6666666666666,1.0,61.86911487758945,326.6666666666667
1000,480,1,0,157.971468542004,0.0,158.47095394134521,0.0,0.8856088560885609,0.0,194862.0,1233.5265462711511,1104.0,1.0,53.61666666666667,296.0
